Id,N1,N2,N3,N4,N5,N6,Date
1,2,17,33,37,38,45,20/07/2016
2,3,4,14,20,25,35,22/07/2016
3,1,10,16,18,23,38,24/07/2016
4,14,17,21,25,31,37,27/07/2016
5,3,8,13,20,30,36,29/07/2016
6,2,6,19,21,35,39,31/07/2016
7,7,10,25,27,29,40,3/8/2016
8,3,9,13,18,24,31,5/8/2016
9,3,5,17,22,30,31,7/8/2016
10,6,15,16,19,27,30,10/8/2016
11,28,31,34,37,38,41,12/8/2016
12,13,16,17,29,31,37,14/08/2016
13,2,4,9,19,21,26,17/08/2016
14,11,12,17,33,34,36,19/08/2016
15,13,21,24,25,29,44,21/08/2016
16,8,17,21,23,36,40,24/08/2016
17,10,36,39,43,44,45,26/08/2016
18,4,6,10,15,16,44,28/08/2016
19,8,20,21,31,34,39,31/08/2016
20,9,13,24,35,36,41,2/9/2016
21,11,15,20,24,27,45,4/9/2016
22,6,8,12,13,15,19,7/9/2016
23,7,13,16,18,31,32,9/9/2016
24,6,9,10,18,20,31,11/9/2016
25,2,11,14,23,25,32,14/09/2016
26,4,5,6,23,31,34,16/09/2016
27,7,10,17,20,25,32,18/09/2016
28,5,12,15,30,37,41,21/09/2016
29,8,14,19,29,30,40,23/09/2016
30,1,20,28,32,42,44,25/09/2016
31,3,6,17,21,32,40,28/09/2016
32,6,20,30,38,40,45,30/09/2016
33,16,23,27,34,35,38,2/10/2016
34,5,6,19,31,42,44,5/10/2016
35,24,25,27,34,44,45,7/10/2016
36,2,15,20,32,33,44,9/10/2016
37,2,8,15,16,19,25,12/10/2016
38,3,7,9,18,28,39,14/10/2016
39,5,21,31,33,38,42,16/10/2016
40,2,13,15,17,18,41,19/10/2016
41,16,17,30,32,34,38,21/10/2016
42,2,5,12,21,22,40,23/10/2016
43,1,8,16,18,21,28,26/10/2016
44,10,11,13,14,16,38,28/10/2016
45,7,12,25,28,40,44,30/10/2016
46,3,5,8,10,13,22,2/11/2016
